lat,long,date,temp
"""26.4367824"," 50.1039991""",2023-07-19,46.9
"""26.4367824"," 50.1039991""",2023-07-20,46.5
"""26.4367824"," 50.1039991""",2023-07-21,45.8
"""26.4367824"," 50.1039991""",2023-07-22,45
"""26.4367824"," 50.1039991""",2023-07-23,46.5
"""26.4367824"," 50.1039991""",2023-07-24,46.4
"""26.4367824"," 50.1039991""",2023-07-25,46.3
"""26.4367824"," 50.1039991""",2023-07-26,41.8
"""26.4367824"," 50.1039991""",2023-07-27,45.4
"""26.4367824"," 50.1039991""",2023-07-28,46
"""26.4367824"," 50.1039991""",2023-07-29,46
"""26.4367824"," 50.1039991""",2023-07-30,47.5
"""26.4367824"," 50.1039991""",2023-07-31,47.6
"""26.4367824"," 50.1039991""",2023-08-01,47.7
"""26.4367824"," 50.1039991""",2023-08-02,44.4
"""26.4367824"," 50.1039991""",2023-08-03,46.4
"""26.4367824"," 50.1039991""",2023-08-04,46.6
"""26.4367824"," 50.1039991""",2023-08-05,44
"""26.4367824"," 50.1039991""",2023-08-06,41.4
"""26.4367824"," 50.1039991""",2023-08-07,46.7
"""26.4367824"," 50.1039991""",2023-08-08,45
"""26.4367824"," 50.1039991""",2023-08-09,46.5
"""26.4367824"," 50.1039991""",2023-08-10,42.4
"""26.4367824"," 50.1039991""",2023-08-11,43.3
"""26.4367824"," 50.1039991""",2023-08-12,43.7
"""26.4367824"," 50.1039991""",2023-08-13,44.6
"""26.4367824"," 50.1039991""",2023-08-14,44
"""26.4367824"," 50.1039991""",2023-08-15,43.6
"""26.4367824"," 50.1039991""",2023-08-16,43
"""26.4367824"," 50.1039991""",2023-08-17,42.9
"""26.4367824"," 50.1039991""",2023-08-18,43.1
"""26.4367824"," 50.1039991""",2023-08-19,43.6
"""26.4367824"," 50.1039991""",2023-08-20,42.7
"""26.4367824"," 50.1039991""",2023-08-21,39.8
"""26.4367824"," 50.1039991""",2023-08-22,44.1
"""26.4367824"," 50.1039991""",2023-08-23,45.9
"""26.4367824"," 50.1039991""",2023-08-24,49.5
"""26.4367824"," 50.1039991""",2023-08-25,46
"""26.4367824"," 50.1039991""",2023-08-26,43.7
"""26.4367824"," 50.1039991""",2023-08-27,44.6
"""26.4367824"," 50.1039991""",2023-08-28,46.2
"""26.4367824"," 50.1039991""",2023-08-29,41.3
"""26.4367824"," 50.1039991""",2023-08-30,39.7
"""26.4367824"," 50.1039991""",2023-08-31,41.4
"""26.4367824"," 50.1039991""",2023-09-01,42.8
"""26.4367824"," 50.1039991""",2023-09-02,43.3
"""26.4367824"," 50.1039991""",2023-09-03,38.6
"""26.4367824"," 50.1039991""",2023-09-04,40.5
"""26.4367824"," 50.1039991""",2023-09-05,43.9
"""26.4367824"," 50.1039991""",2023-09-06,43.2
"""26.4367824"," 50.1039991""",2023-09-07,42.5
"""26.4367824"," 50.1039991""",2023-09-08,44.3
"""26.4367824"," 50.1039991""",2023-09-09,43.9
"""26.4367824"," 50.1039991""",2023-09-10,45.5
"""26.4367824"," 50.1039991""",2023-09-11,42.8
"""26.4367824"," 50.1039991""",2023-09-12,40.4
